to_combo,direction,1w_n,1w_mean,1w_median,1w_std,1w_win,1w_p25,1w_p75,2w_n,2w_mean,2w_median,2w_std,2w_win,2w_p25,2w_p75,1m_n,1m_mean,1m_median,1m_std,1m_win,1m_p25,1m_p75,2m_n,2m_mean,2m_median,2m_std,2m_win,2m_p25,2m_p75,events
无负无,降级,10799,0.0008699183560358585,0.0,0.06139923497115856,0.4914343920733401,-0.030311233613886553,0.02893350451438775,10780,0.0066026105375018825,0.00075560123658365,0.0862865514108321,0.502226345083488,-0.04056092168827857,0.045543239059338526,10769,0.01559553416018571,0.0042390323144105,0.13066901546313575,0.5169467917169653,-0.0576194086429112,0.0691244239631336,10566,0.030376890255002058,0.00474875032886095,0.19903121729796922,0.5118303993942835,-0.0800914756856001,0.09867982456140358,10824
无负正,升级,29,-0.023984866718011207,0.0011037527593817,0.11403866410630133,0.5172413793103449,-0.0409328891004284,0.0524017467248909,29,-0.010401098133382124,-0.0205633802816901,0.12032302008672084,0.4482758620689655,-0.0606060606060607,0.0737577639751552,29,0.03678698812991401,0.006830601092896,0.200113294631641,0.5172413793103449,-0.0657204767063921,0.1060109289617488,29,-0.00361780985537391,0.0349999999999999,0.2685396462605749,0.5172413793103449,-0.1138364779874214,0.1366731378486056,29
无负正,换挡,23,-0.022517754649094765,-0.0187598292518534,0.08581581744933282,0.43478260869565216,-0.07164646131106811,0.05315106098245365,23,-0.05229518427922329,-0.0530217928555379,0.10327080098698103,0.2608695652173913,-0.08866571457814595,-0.00114444942031155,23,-0.03620922529639067,-0.0601948503827417,0.13707031753766552,0.30434782608695654,-0.11529382730044466,0.0303036573685393,23,0.02487787670355049,0.0161943319838056,0.16387097198042386,0.5652173913043478,-0.08861024033437825,0.08914675653909795,23
无负正,降级,47,-0.0010776965916634842,-0.0045731707317072,0.07672292398110524,0.44680851063829785,-0.04498128922186835,0.0314086509362435,47,0.011700990791480981,0.0069967707212057,0.09859924092629567,0.5531914893617021,-0.0346113057862618,0.04692854115587105,47,0.0013960260288063244,0.0263000597728633,0.13049495730221716,0.5319148936170213,-0.046955354170796396,0.08461827477128636,47,0.038837336704647306,0.040418118466899,0.17278589943401174,0.5531914893617021,-0.08460216850627811,0.10681217180000291,47
无负负,升级,11556,0.008674897662708736,0.0052441004688196,0.0661176673461545,0.5374697127033575,-0.026717314166135826,0.03933234498543485,11544,0.01738845107510123,0.00800756272286525,0.09643985833482553,0.5424462924462925,-0.037114548176895426,0.06107930449533493,11537,0.041583774552661275,0.0234986945169712,0.14897212937598814,0.5862009187830458,-0.0464472470009227,0.1044776119402985,11393,0.06106694782348088,0.0323159784560143,0.22450144948753753,0.599139822698148,-0.0541541016467913,0.1352859135285913,11569
无负负,换挡,761,0.0030476115545784777,0.0018726591760298,0.0634265390073042,0.5111695137976346,-0.03023598820059,0.030124040165387,759,0.013078897827594046,0.0031496062992126,0.10554784256212087,0.5230566534914362,-0.04565769014299485,0.052320276347519956,758,0.02810351894150908,0.0073401513149842,0.14692906366046876,0.5329815303430079,-0.05461686202606597,0.08441836522822439,747,0.06361799971593747,0.0319654427645788,0.20593169355504928,0.5890227576974565,-0.0584950852308076,0.13324423817449838,764
无负负,降级,7523,0.001139533050895464,0.0,0.0657896469718991,0.4971420975674598,-0.0317981603304364,0.03119727093619965,7516,0.009460714625906474,0.00353511086283595,0.08972186256538414,0.5182277807344332,-0.0426774971657843,0.05107280214955565,7513,0.024423610156036116,0.013013013013013,0.14972118406258217,0.5507786503394116,-0.0578947368421052,0.0856725146198831,7379,0.041542571999635715,0.0151911995809324,0.22281427189917158,0.5465510231738718,-0.07166907087421534,0.11798694913739144,7535
正无无,升级,51244,0.0050804753884095555,-0.00028632285627135,0.06774936685562985,0.490242760128015,-0.029065471417115275,0.02932803372687335,51071,0.0097350015511045,0.0029629629629628,0.0951330164762583,0.5169469953594016,-0.0404699738903394,0.0472279260780287,50566,0.022461766749018834,0.0063977254552993,0.14999935738228234,0.5243641972867144,-0.06001061739514625,0.07959914065372489,49836,0.040066240317476416,0.00660494211862955,0.22477587452566553,0.5174973914439361,-0.08491031835740989,0.11688311688311685,51362
正无无,换挡,421,0.008597226587956162,0.0027198549410698,0.06682381193394775,0.5106888361045131,-0.0264111859140341,0.0323914541695382,421,0.016204936900269196,0.0051546391752577,0.0999122805159823,0.5296912114014252,-0.0372836218375498,0.0533170533170535,416,0.021416446156017562,0.00425985573651495,0.14258390500558593,0.5144230769230769,-0.05522643867074928,0.0822417935844576,411,0.04257547934392825,-0.002710027100271,0.20940310156907171,0.49148418491484186,-0.0809122673004018,0.123261003750042,421
正无无,降级,2322,0.0056104524411754175,0.0,0.06409292129382269,0.4905254091300603,-0.02628767620018755,0.029143382815088922,2314,0.013793707728775745,0.00450114102224595,0.096005616829789,0.5311149524632671,-0.03642905274333097,0.05032210009260375,2294,0.028289810629744352,0.01189269148564805,0.1443180434222497,0.5571054925893636,-0.057555690897321876,0.08588221042190675,2258,0.04941858183185564,0.011342818273511399,0.2476502119212381,0.5318866253321524,-0.08475972256207702,0.12895762831320756,2325
