symbol,name,theme,benchmark,invest_type,management,list_date,delist_date,list_status,m_fee,c_fee,scale_yi,scale_reliable,n_qualify_years,first_qualify_year,last_qualify_year,peak_year,peak_avg_daily_yi,latest_year,latest_avg_daily_yi,theme_representative,theme_norm,sector
159599.SZ,东财中证芯片产业ETF,中证芯片产业,中证芯片产业指数收益率×100%,被动指数型,东财基金管理有限公司,20240508,nan,L,0.5,0.05,20.13,Y,1,2026,2026,2026,1.7096,2026,1.7096,Y,中证芯片产业,半导体芯片
515000.SH,华宝中证科技龙头ETF,中证科技龙头,中证科技龙头指数收益率×100%,被动指数型,华宝基金管理有限公司,20190816,nan,L,0.5,0.1,40.79,Y,8,2019,2026,2020,5.1569,2026,1.6688,Y,中证科技龙头,中证科技龙头
159697.SZ,鹏华国证石油天然气ETF,国证石油天然气,国证石油天然气指数收益率×100%,被动指数型,鹏华基金管理有限公司,20230504,nan,L,0.5,0.1,13.81,Y,1,2026,2026,2026,1.6196,2026,1.6196,Y,国证石油天然气,石油天然气
588230.SH,华泰柏瑞上证科创板200ETF,上证科创板200,上证科创板200指数收益率×100%,被动指数型,华泰柏瑞基金管理有限公司,20241224,nan,L,0.15,0.05,14.12,Y,2,2025,2026,2026,1.6011,2026,1.6011,Y,上证科创板200,上证科创板200
159859.SZ,天弘国证生物医药ETF,国证生物医药,国证生物医药指数×100%,被动指数型,天弘基金管理有限公司,20210707,nan,L,0.5,0.1,40.12,Y,4,2023,2026,2026,1.5904,2026,1.5904,Y,国证生物医药,医药生物
520510.SH,华夏中证港股通医疗主题ETF,中证港股通医疗主题,中证港股通医疗主题指数收益率×100%,被动指数型,华夏基金管理有限公司,20250807,nan,L,0.5,0.1,2.28,Y,2,2025,2026,2026,1.59,2026,1.59,Y,中证港股通医疗主题,跨境-港股医药
512040.SH,富国中证价值ETF,中证国信价值,中证国信价值指数收益率×100%,被动指数型,富国基金管理有限公司,20181129,nan,L,0.6,0.1,54.24,Y,2,2024,2026,2026,1.5602,2026,1.5602,Y,中证国信价值,中证国信价值
510720.SH,国泰上证国有企业红利ETF,上证国有企业红利,上证国有企业红利指数收益率×100%,被动指数型,国泰基金管理有限公司,20240515,nan,L,0.5,0.1,18.21,Y,2,2025,2026,2026,1.5513,2026,1.5513,Y,上证国有企业红利,红利策略
589680.SH,鹏华上证科创板综合ETF,上证科创板综合,上证科创板综合指数收益率×100%,被动指数型,鹏华基金管理有限公司,20250305,nan,L,0.15,0.05,21.12,Y,2,2025,2026,2026,1.482,2026,1.482,Y,上证科创板综合,上证科创板综合
159545.SZ,易方达恒生港股通红利低波动ETF,恒生港股通红利低波动,恒生港股通红利低波动指数收益率(使用估值汇率折算)×100%,被动指数型,易方达基金管理有限公司,20240415,nan,L,0.15,0.05,70.15,Y,2,2025,2026,2026,1.4238,2026,1.4238,Y,恒生港股通红利低波动,跨境-港股红利
159883.SZ,永赢中证全指医疗器械ETF,中证全指医疗器械,中证全指医疗器械指数收益率×100%,被动指数型,永赢基金管理有限公司,20210430,nan,L,0.5,0.1,39.98,Y,4,2022,2026,2026,1.4154,2026,1.4154,Y,中证全指医疗器械,中证全指医疗器械
515100.SH,景顺长城中证红利低波动100ETF,中证红利低波动100,中证红利低波动100指数收益率×100%,被动指数型,景顺长城基金管理有限公司,20200703,nan,L,0.5,0.1,52.76,Y,4,2023,2026,2026,1.4144,2026,1.4144,Y,中证红利低波动100,红利策略
588830.SH,鹏华上证科创板新能源ETF,上证科创板新能源,上证科创板新能源指数收益率×100%,被动指数型,鹏华基金管理有限公司,20240809,nan,L,0.5,0.1,7.49,Y,2,2025,2026,2026,1.4082,2026,1.4082,Y,上证科创板新能源,新能源
159930.SZ,汇添富中证能源ETF,中证能源,中证能源指数×100%,被动指数型,汇添富基金管理股份有限公司,20130916,nan,L,0.5,0.1,9.93,Y,1,2026,2026,2026,1.3623,2026,1.3623,Y,中证能源,石油天然气
159595.SZ,大成中证A50ETF,中证A50,中证A50指数收益率×100%,被动指数型,大成基金管理有限公司,20240318,nan,L,0.15,0.05,12.58,Y,3,2024,2026,2024,3.0428,2026,1.3309,Y,中证A50,中证A50
512670.SH,鹏华中证国防ETF,中证国防,中证国防指数收益率×100%,被动指数型,鹏华基金管理有限公司,20190801,nan,L,0.3,0.1,17.12,Y,6,2021,2026,2025,2.5733,2026,1.3193,Y,中证国防,军工
515400.SH,富国中证大数据产业ETF,中证大数据产业,中证大数据产业指数收益率×100%,被动指数型,富国基金管理有限公司,20210120,nan,L,0.5,0.1,14.2,Y,4,2023,2026,2025,1.3865,2026,1.3168,Y,中证大数据产业,云计算软件
159998.SZ,天弘中证计算机主题ETF,中证计算机主题,中证计算机主题指数收益率×100%,被动指数型,天弘基金管理有限公司,20200413,nan,L,0.5,0.1,15.85,Y,3,2023,2026,2026,1.2956,2026,1.2956,Y,中证计算机主题,云计算软件
515300.SH,嘉实沪深300红利低波动ETF,沪深300红利低波动,沪深300红利低波动指数收益率×100%,被动指数型,嘉实基金管理有限公司,20190919,nan,L,0.5,0.1,43.85,Y,2,2025,2026,2026,1.2886,2026,1.2886,Y,沪深300红利低波动,沪深300红利低波动
515210.SH,国泰中证钢铁ETF,中证钢铁,中证钢铁指数收益率×100%,被动指数型,国泰基金管理有限公司,20200302,nan,L,0.5,0.1,12.14,Y,6,2021,2026,2025,1.4088,2026,1.276,Y,中证钢铁,钢铁
159615.SZ,南方恒生生物科技ETF(QDII),经估值汇率调整后的恒生生物科技,经估值汇率调整后的恒生生物科技指数收益率×100%,被动指数型,南方基金管理股份有限公司,20220628,nan,L,0.5,0.15,3.82,Y,5,2022,2026,2025,1.5476,2026,1.2699,Y,恒生生物科技,跨境-港股医药
513030.SH,华安国际龙头(DAX)ETF(QDII),德国法兰克福DAX,德国法兰克福DAX指数×100%,被动指数型,华安基金管理有限公司,20140905,nan,L,0.8,0.2,19.47,Y,3,2024,2026,2025,6.308,2026,1.2661,Y,德国DAX,德国DAX
159660.SZ,汇添富纳斯达克100ETF(QDII),经人民币汇率调整的纳斯达克100,经人民币汇率调整的纳斯达克100指数收益率×100%,被动指数型,汇添富基金管理股份有限公司,20230417,nan,L,0.5,0.15,53.59,Y,3,2024,2026,2025,1.3435,2026,1.2482,Y,纳斯达克100,纳斯达克100
159325.SZ,南方中证半导体行业精选ETF,中证半导体行业精选,中证半导体行业精选指数收益率×100%,被动指数型,南方基金管理股份有限公司,20241108,nan,L,0.15,0.05,11.18,Y,1,2026,2026,2026,1.2463,2026,1.2463,Y,中证半导体行业精选,半导体芯片
159561.SZ,嘉实德国DAXETF(QDII),经估值汇率调整后的德国DAX,经估值汇率调整后的德国DAX指数收益率×100%,被动指数型,嘉实基金管理有限公司,20240430,nan,L,0.5,0.1,18.34,Y,2,2025,2026,2025,4.0468,2026,1.2371,Y,德国DAX,德国DAX
562550.SH,华夏中证绿色电力ETF,中证绿色电力,中证绿色电力指数收益率×100%,被动指数型,华夏基金管理有限公司,20230327,nan,L,0.5,0.1,17.18,Y,1,2026,2026,2026,1.2283,2026,1.2283,Y,中证绿色电力,电力
159825.SZ,富国中证农业主题ETF,中证农业主题,中证农业主题指数收益率×100%,被动指数型,富国基金管理有限公司,20201229,nan,L,0.5,0.1,18.59,Y,6,2021,2026,2022,1.3071,2026,1.2237,Y,中证农业主题,农业养殖
