symbol,name,theme,benchmark,invest_type,management,list_date,delist_date,list_status,m_fee,c_fee,scale_yi,scale_reliable,n_qualify_years,first_qualify_year,last_qualify_year,peak_year,peak_avg_daily_yi,latest_year,latest_avg_daily_yi,theme_representative,theme_norm,sector
513090.SH,易方达中证香港证券投资主题ETF,中证香港证券投资主题,中证香港证券投资主题指数收益率(使用估值汇率折算)×100%,被动指数型,易方达基金管理有限公司,20200326,nan,L,0.15,0.05,185.43,Y,7,2020,2026,2025,98.4548,2026,57.8456,Y,中证香港证券投资主题,跨境-港股金融
159915.SZ,易方达创业板ETF,创业板指数P,创业板指数P×100%,被动指数型,易方达基金管理有限公司,20111209,nan,L,0.15,0.05,648.43,Y,14,2013,2026,2026,57.5289,2026,57.5289,Y,创业板,创业板
518880.SH,华安易富黄金ETF,Au99.99合约,国内黄金现货价格收益率(Au99.99合约)×100%,黄金现货合约,华安基金管理有限公司,20130729,nan,L,0.5,0.1,1065.41,Y,11,2016,2026,2026,56.9987,2026,56.9987,Y,黄金现货Au99.99,黄金
513120.SH,广发中证香港创新药ETF(QDII),中证香港创新药,中证香港创新药指数收益率×100%,被动指数型,广发基金管理有限公司,20220712,nan,L,0.5,0.1,243.38,Y,5,2022,2026,2026,56.8179,2026,56.8179,Y,中证香港创新药,跨境-港股医药
510500.SH,南方中证500ETF,中证小盘500,中证小盘500指数×100%,被动指数型,南方基金管理股份有限公司,20130315,nan,L,0.15,0.05,430.42,Y,12,2015,2026,2026,48.8835,2026,48.8835,Y,中证500,中证500
511090.SH,鹏扬中债-30年期国债ETF,中债-30年期国债,中债-30年期国债指数收益率×100%,被动指数型,鹏扬基金管理有限公司,20230613,nan,L,0.15,0.05,331.25,Y,4,2023,2026,2025,83.9953,2026,42.6573,Y,中债-30年期国债,中债-30年期国债
588200.SH,嘉实上证科创板芯片ETF,上证科创板芯片,上证科创板芯片指数收益率×100%,被动指数型,嘉实基金管理有限公司,20221026,nan,L,0.5,0.1,506.54,Y,4,2023,2026,2026,41.8941,2026,41.8941,Y,上证科创板芯片,半导体芯片
513130.SH,华泰柏瑞南方东英恒生科技指数ETF(QDII),恒生科技,恒生科技指数收益率(使用估值汇率折算)×100%,被动指数型,华泰柏瑞基金管理有限公司,20210601,nan,L,0.2,0.05,325.06,Y,6,2021,2026,2025,51.1334,2026,41.1639,Y,恒生科技,跨境-港股科技
511260.SH,国泰上证10年期国债ETF,上证10年期国债,上证10年期国债指数×100%,被动指数型,国泰基金管理有限公司,20170824,nan,L,0.15,0.05,229.1,Y,7,2020,2026,2026,40.3975,2026,40.3975,Y,上证10年期国债,上证10年期国债
512100.SH,南方中证1000ETF,中证1000,中证1000指数×100%,被动指数型,南方基金管理股份有限公司,20161104,nan,L,0.15,0.05,206.17,Y,6,2021,2026,2026,34.9907,2026,34.9907,Y,中证1000,中证1000
515880.SH,国泰中证全指通信设备ETF,中证全指通信设备,中证全指通信设备指数收益率×100%,被动指数型,国泰基金管理有限公司,20190906,nan,L,0.5,0.1,421.5,Y,7,2019,2026,2026,32.1968,2026,32.1968,Y,中证全指通信设备,中证全指通信设备
159816.SZ,鹏华中证0-4年期地方政府债ETF,中证0-4年期地方政府债,中证0-4年期地方政府债指数收益率×100%,被动指数型,鹏华基金管理有限公司,20200904,nan,L,0.15,0.05,110.75,Y,3,2024,2026,2026,31.1827,2026,31.1827,Y,中证0-4年期地方政府债,中证0-4年期地方政府债
511030.SH,平安中债-中高等级公司债利差因子ETF,中债-中高等级公司债利差因子,中债-中高等级公司债利差因子指数收益率×100%,被动指数型,平安基金管理有限公司,20190322,nan,L,0.15,0.05,436.14,Y,5,2022,2026,2026,29.483,2026,29.483,Y,中债-中高等级公司债利差因子,中债-中高等级公司债利差因子
