symbol,name,theme,year,bars,avg_daily_amount_yi,qualifies
517380.SH,天弘恒生沪深港创新药精选50ETF,恒生沪深港创新药精选50,2023,242,0.0714,
517380.SH,天弘恒生沪深港创新药精选50ETF,恒生沪深港创新药精选50,2024,242,0.0511,
517380.SH,天弘恒生沪深港创新药精选50ETF,恒生沪深港创新药精选50,2025,243,0.2271,
517380.SH,天弘恒生沪深港创新药精选50ETF,恒生沪深港创新药精选50,2026,177,0.6015,Y
517390.SH,天弘中证沪港深云计算产业ETF,中证沪港深云计算产业,2022,242,0.0809,
517390.SH,天弘中证沪港深云计算产业ETF,中证沪港深云计算产业,2023,242,0.0417,
517390.SH,天弘中证沪港深云计算产业ETF,中证沪港深云计算产业,2024,242,0.0333,
517390.SH,天弘中证沪港深云计算产业ETF,中证沪港深云计算产业,2025,243,0.2162,
517390.SH,天弘中证沪港深云计算产业ETF,中证沪港深云计算产业,2026,177,0.1269,
517400.SH,国泰中证沪深港黄金产业股票ETF,中证沪深港黄金产业股票,2024,162,0.078,
517400.SH,国泰中证沪深港黄金产业股票ETF,中证沪深港黄金产业股票,2025,243,0.2025,
517400.SH,国泰中证沪深港黄金产业股票ETF,中证沪深港黄金产业股票,2026,177,0.9108,Y
517500.SH,国泰中证沪港深动漫游戏ETF,中证沪港深动漫游戏,2022,197,0.0484,
517500.SH,国泰中证沪港深动漫游戏ETF,中证沪港深动漫游戏,2023,208,0.0396,
517520.SH,永赢中证沪深港黄金产业股票ETF,中证沪深港黄金产业股票,2024,242,0.7448,Y
517520.SH,永赢中证沪深港黄金产业股票ETF,中证沪深港黄金产业股票,2025,243,3.0008,Y
517520.SH,永赢中证沪深港黄金产业股票ETF,中证沪深港黄金产业股票,2026,177,7.0961,Y
517550.SH,招商中证沪港深消费龙头ETF,中证沪港深消费龙头,2022,222,0.0321,
517550.SH,招商中证沪港深消费龙头ETF,中证沪港深消费龙头,2023,242,0.0349,
517550.SH,招商中证沪港深消费龙头ETF,中证沪港深消费龙头,2024,242,0.0197,
517550.SH,招商中证沪港深消费龙头ETF,中证沪港深消费龙头,2025,243,0.0417,
517550.SH,招商中证沪港深消费龙头ETF,中证沪港深消费龙头,2026,177,0.0521,
517660.SH,天弘中证沪港深物联网主题ETF,中证沪港深物联网主题,2022,242,0.0893,
517660.SH,天弘中证沪港深物联网主题ETF,中证沪港深物联网主题,2023,242,0.0808,
517660.SH,天弘中证沪港深物联网主题ETF,中证沪港深物联网主题,2024,242,0.0495,
517660.SH,天弘中证沪港深物联网主题ETF,中证沪港深物联网主题,2025,243,0.0108,
517660.SH,天弘中证沪港深物联网主题ETF,中证沪港深物联网主题,2026,177,0.0204,
517760.SH,浦银安盛中证沪港深消费龙头ETF,中证沪港深消费龙头,2022,173,0.0407,
517760.SH,浦银安盛中证沪港深消费龙头ETF,中证沪港深消费龙头,2023,241,0.0155,
517770.SH,浦银中证沪港深游戏及文化传媒ETF,中证沪港深游戏及文化传媒,2022,242,0.0456,
517770.SH,浦银中证沪港深游戏及文化传媒ETF,中证沪港深游戏及文化传媒,2023,242,0.0218,
517770.SH,浦银中证沪港深游戏及文化传媒ETF,中证沪港深游戏及文化传媒,2024,242,0.0273,
517770.SH,浦银中证沪港深游戏及文化传媒ETF,中证沪港深游戏及文化传媒,2025,243,0.0435,
517770.SH,浦银中证沪港深游戏及文化传媒ETF,中证沪港深游戏及文化传媒,2026,177,0.1675,
517780.SH,浦银安盛中华交易服务沪深港300ETF,中华交易服务沪深港300,2022,191,0.0304,
517800.SH,方正富邦中证沪港深人工智能50ETF,中证沪港深人工智能50,2021,85,0.0268,
517800.SH,方正富邦中证沪港深人工智能50ETF,中证沪港深人工智能50,2022,242,0.0066,
517800.SH,方正富邦中证沪港深人工智能50ETF,中证沪港深人工智能50,2023,242,0.0242,
517800.SH,方正富邦中证沪港深人工智能50ETF,中证沪港深人工智能50,2024,242,0.053,
517800.SH,方正富邦中证沪港深人工智能50ETF,中证沪港深人工智能50,2025,243,0.1575,
517800.SH,方正富邦中证沪港深人工智能50ETF,中证沪港深人工智能50,2026,177,0.1333,
517850.SH,汇添富中证沪港深张江自主创新50ETF,中证沪港深张江自主创新50,2022,158,0.1298,
517850.SH,汇添富中证沪港深张江自主创新50ETF,中证沪港深张江自主创新50,2023,242,0.0267,
517850.SH,汇添富中证沪港深张江自主创新50ETF,中证沪港深张江自主创新50,2024,242,0.0151,
517850.SH,汇添富中证沪港深张江自主创新50ETF,中证沪港深张江自主创新50,2025,243,0.0177,
517850.SH,汇添富中证沪港深张江自主创新50ETF,中证沪港深张江自主创新50,2026,177,0.0127,
517880.SH,华泰柏瑞中证沪港深品牌消费50ETF,中证沪港深品牌消费50,2022,242,0.0552,
517880.SH,华泰柏瑞中证沪港深品牌消费50ETF,中证沪港深品牌消费50,2023,242,0.0667,
517880.SH,华泰柏瑞中证沪港深品牌消费50ETF,中证沪港深品牌消费50,2024,242,0.0501,
517880.SH,华泰柏瑞中证沪港深品牌消费50ETF,中证沪港深品牌消费50,2025,242,0.0226,
517880.SH,华泰柏瑞中证沪港深品牌消费50ETF,中证沪港深品牌消费50,2026,177,0.0389,
517900.SH,招商中证银行AH价格优选ETF,中证银行AH价格优选,2022,189,0.0238,
517900.SH,招商中证银行AH价格优选ETF,中证银行AH价格优选,2023,242,0.0048,
517900.SH,招商中证银行AH价格优选ETF,中证银行AH价格优选,2024,242,0.0218,
517900.SH,招商中证银行AH价格优选ETF,中证银行AH价格优选,2025,243,0.3519,
517900.SH,招商中证银行AH价格优选ETF,中证银行AH价格优选,2026,177,0.3439,
517950.SH,交银中证智选沪深港科技50ETF,中证智选沪深港科技50,2026,177,0.0974,
517960.SH,摩根中证沪港深科技100ETF,中证沪港深科技100,2022,242,0.042,
517960.SH,摩根中证沪港深科技100ETF,中证沪港深科技100,2023,238,0.0058,
