symbol,year,bars,avg_daily_amount_yi,total_amount_yi
561380.SH,2026,177,1.9563,346.26
588780.SH,2024,4,0.8251,3.3
588780.SH,2025,243,0.8006,194.54
588780.SH,2026,177,2.1809,386.02
159363.SZ,2024,12,1.383,16.6
159363.SZ,2025,243,4.3944,1067.85
159363.SZ,2026,177,11.2541,1991.97
560810.SH,2024,17,0.1707,2.9
560810.SH,2025,243,0.0162,3.93
560810.SH,2026,177,0.0351,6.22
159355.SZ,2024,21,0.1396,2.93
159355.SZ,2025,243,0.0435,10.57
159355.SZ,2026,177,0.0357,6.32
159358.SZ,2024,23,5.4279,124.84
159358.SZ,2025,243,1.5934,387.19
159358.SZ,2026,177,0.8439,149.37
159356.SZ,2024,18,9.2913,167.24
159356.SZ,2025,243,1.4356,348.84
159356.SZ,2026,177,0.6224,110.17
563500.SH,2024,22,4.6912,103.21
563500.SH,2025,243,1.1431,277.77
563500.SH,2026,177,0.1922,34.01
159357.SZ,2024,24,8.7644,210.35
159357.SZ,2025,243,1.4631,355.53
159357.SZ,2026,177,0.2809,49.72
512020.SH,2024,22,6.6234,145.72
512020.SH,2025,243,1.4021,340.7
512020.SH,2026,177,0.7626,134.99
159360.SZ,2024,24,6.3135,151.52
159360.SZ,2025,243,0.9191,223.33
159360.SZ,2026,177,0.4995,88.42
159359.SZ,2024,22,5.8873,129.52
159359.SZ,2025,243,1.4886,361.73
159359.SZ,2026,177,0.3659,64.76
159362.SZ,2024,22,3.8811,85.38
159362.SZ,2025,243,0.7526,182.89
159362.SZ,2026,177,0.4676,82.76
563880.SH,2024,27,11.0389,298.05
563880.SH,2025,243,4.1265,1002.74
563880.SH,2026,177,1.3523,239.36
530050.SH,2024,20,0.2669,5.34
530050.SH,2025,243,0.0442,10.74
530050.SH,2026,177,0.0527,9.33
159361.SZ,2024,31,26.9873,836.61
159361.SZ,2025,243,25.3674,6164.28
159361.SZ,2026,177,24.5392,4343.43
563800.SH,2024,32,23.5799,754.56
563800.SH,2025,243,15.6265,3797.24
563800.SH,2026,177,5.5895,989.33
512050.SH,2024,33,33.6707,1111.13
512050.SH,2025,243,47.1801,11464.77
512050.SH,2026,177,50.6319,8961.85
563520.SH,2024,32,0.2811,9.0
563520.SH,2025,243,0.2624,63.77
563520.SH,2026,177,0.2095,37.08
159328.SZ,2024,33,0.0563,1.86
159328.SZ,2025,243,0.0195,4.73
159328.SZ,2026,177,0.0459,8.13
588070.SH,2024,34,0.0944,3.21
588070.SH,2025,243,0.0697,16.94
588070.SH,2026,177,0.0701,12.4
159325.SZ,2024,38,0.2426,9.22
159325.SZ,2025,243,0.2379,57.81
159325.SZ,2026,177,1.2463,220.59
562970.SH,2024,39,0.0725,2.83
562970.SH,2025,243,0.0846,20.56
562970.SH,2026,177,0.2655,47.0
530880.SH,2024,36,0.1795,6.46
530880.SH,2025,243,0.0366,8.9
530880.SH,2026,177,0.031,5.49
159590.SZ,2024,40,0.2091,8.37
159590.SZ,2025,243,0.2822,68.57
159590.SZ,2026,177,0.5278,93.42
159312.SZ,2024,38,0.1361,5.17
159312.SZ,2025,243,0.1613,39.21
159312.SZ,2026,177,0.1105,19.56
520520.SH,2024,43,0.2617,11.25
520520.SH,2025,243,0.2888,70.18
520520.SH,2026,177,0.0637,11.28
513780.SH,2024,48,0.1307,6.28
513780.SH,2025,243,3.789,920.74
513780.SH,2026,177,4.2466,751.66
561570.SH,2024,54,0.0366,1.98
561570.SH,2025,242,0.0165,3.98
561570.SH,2026,177,0.3099,54.84
560510.SH,2024,56,4.2727,239.27
560510.SH,2025,243,1.294,314.44
560510.SH,2026,177,0.6362,112.62
560610.SH,2024,56,13.92,779.52
560610.SH,2025,243,6.0684,1474.62
560610.SH,2026,177,1.2641,223.75
159339.SZ,2024,56,8.835,494.76
159339.SZ,2025,243,3.1451,764.27
159339.SZ,2026,177,0.9241,163.57
159338.SZ,2024,56,27.7116,1551.85
159338.SZ,2025,243,35.6742,8668.84
159338.SZ,2026,177,51.0875,9042.48
563360.SH,2024,56,17.6156,986.47
563360.SH,2025,243,33.8693,8230.25
563360.SH,2026,177,63.4755,11235.17
159352.SZ,2024,56,18.7209,1048.37
159352.SZ,2025,243,36.3024,8821.47
159352.SZ,2026,177,51.5914,9131.68
563220.SH,2024,56,11.8208,661.97
563220.SH,2025,243,10.4555,2540.7
563220.SH,2026,177,4.9188,870.64
159353.SZ,2024,56,9.0283,505.58
159353.SZ,2025,243,4.5548,1106.81
159353.SZ,2026,177,2.1592,382.18
560530.SH,2024,56,8.7924,492.37
560530.SH,2025,243,3.7366,907.98
560530.SH,2026,177,1.0788,190.94
159351.SZ,2024,56,12.1493,680.36
159351.SZ,2025,243,23.3182,5666.32
159351.SZ,2026,177,8.2705,1463.88
159305.SZ,2024,63,0.1275,8.03
159305.SZ,2025,242,0.1326,32.08
159305.SZ,2026,177,0.5843,103.42
520700.SH,2024,57,0.1453,8.28
520700.SH,2025,243,2.8716,697.8
520700.SH,2026,177,3.0825,545.6
560620.SH,2024,60,0.0376,2.26
560620.SH,2025,243,0.0114,2.77
560620.SH,2026,177,0.0075,1.32
561930.SH,2024,68,0.4935,33.56
561930.SH,2025,243,0.2315,56.25
561930.SH,2026,177,0.1675,29.65
530000.SH,2024,71,0.086,6.11
530000.SH,2025,243,0.0208,5.05
530000.SH,2026,177,0.105,18.59
520890.SH,2024,68,0.2458,16.71
520890.SH,2025,243,0.2132,51.8
520890.SH,2026,177,0.3594,63.61
159337.SZ,2024,68,0.2377,16.16
159337.SZ,2025,243,0.192,46.66
159337.SZ,2026,177,0.1933,34.22
159326.SZ,2024,75,0.1273,9.55
159326.SZ,2025,243,0.7125,173.14
159326.SZ,2026,177,13.1372,2325.28
159302.SZ,2024,80,0.197,15.76
159302.SZ,2025,243,0.1324,32.16
159302.SZ,2026,177,0.099,17.53
159335.SZ,2024,77,0.3392,26.12
159335.SZ,2025,243,0.0618,15.02
159335.SZ,2026,177,0.0525,9.29
159333.SZ,2024,79,0.6463,51.06
159333.SZ,2025,243,0.3527,85.71
159333.SZ,2026,177,0.1402,24.81
159569.SZ,2024,87,0.1664,14.47
159569.SZ,2025,243,0.3901,94.79
159569.SZ,2026,177,0.7222,127.83
159587.SZ,2024,88,0.0707,6.22
159587.SZ,2025,242,0.0643,15.55
159587.SZ,2026,176,0.3651,64.26
588990.SH,2024,91,0.5885,53.56
588990.SH,2025,243,0.5417,131.64
588990.SH,2026,177,0.6315,111.77
588860.SH,2024,86,0.5563,47.84
588860.SH,2025,243,0.275,66.82
588860.SH,2026,177,0.147,26.02
159330.SZ,2024,90,0.492,44.28
159330.SZ,2025,243,0.4364,106.05
159330.SZ,2026,177,0.2637,46.68
588830.SH,2024,96,0.4924,47.27
588830.SH,2025,243,0.9244,224.62
588830.SH,2026,177,1.4082,249.25
159327.SZ,2024,100,0.1506,15.06
159327.SZ,2025,243,0.2309,56.1
159327.SZ,2026,177,1.8303,323.96
159331.SZ,2024,102,0.2885,29.42
159331.SZ,2025,243,0.1778,43.2
159331.SZ,2026,177,0.0977,17.3
159332.SZ,2024,102,0.1123,11.45
159332.SZ,2025,243,0.0299,7.25
159332.SZ,2026,177,0.0274,4.85
159301.SZ,2024,110,0.0884,9.72
159301.SZ,2025,243,0.0614,14.93
159301.SZ,2026,177,0.2103,37.22
159329.SZ,2024,114,4.154,473.56
159329.SZ,2025,239,8.9329,2134.97
159329.SZ,2026,177,0.6684,118.31
520830.SH,2024,114,2.3314,265.77
520830.SH,2025,242,4.2347,1024.79
520830.SH,2026,177,0.863,152.75
159583.SZ,2024,120,0.0935,11.23
159583.SZ,2025,242,0.8579,207.6
159583.SZ,2026,177,4.3611,771.92
159800.SZ,2024,116,0.1373,15.93
159800.SZ,2025,243,0.0147,3.56
159800.SZ,2026,177,0.01,1.77
588500.SH,2024,111,0.3586,39.81
588500.SH,2025,243,0.0565,13.73
588500.SH,2026,177,0.0761,13.48
588680.SH,2024,121,0.0965,11.68
588680.SH,2025,243,0.0416,10.11
588680.SH,2026,177,0.0557,9.85
520900.SH,2024,118,0.5907,69.7
520900.SH,2025,243,0.868,210.94
520900.SH,2026,177,0.9678,171.3
520990.SH,2024,118,0.7958,93.91
520990.SH,2025,243,1.3596,330.38
520990.SH,2026,177,1.9062,337.4
520660.SH,2024,118,0.3529,41.64
520660.SH,2025,243,0.4732,114.98
520660.SH,2026,177,1.0521,186.23
159552.SZ,2024,126,0.0367,4.62
159552.SZ,2025,242,0.4032,97.57
159552.SZ,2026,177,0.8696,153.91
159303.SZ,2024,127,0.0855,10.86
159303.SZ,2025,242,0.647,156.58
159303.SZ,2026,177,0.6972,123.41
560360.SH,2024,130,0.0757,9.84
560360.SH,2025,243,0.0986,23.96
560360.SH,2026,177,0.1066,18.88
159318.SZ,2024,131,0.0898,11.76
