symbol,trade_date,fd_share,close
159549.SZ,20260831,477552.3884,1.189
158006.SZ,20260831,4104.6012,1.057
159162.SZ,20260831,41893.9837,0.861
159123.SZ,20260831,38704.7026,0.895
159177.SZ,20260831,4761.9279,0.941
159019.SZ,20260831,4832.7711,0.944
159515.SZ,20260831,3338.6631,1.222
159977.SZ,20260831,364587.282,1.792
159814.SZ,20260831,51224.652,0.713
159596.SZ,20260831,51568.304,0.653
159599.SZ,20260831,70782.2066,2.844
159517.SZ,20260831,874.2624,1.369
159255.SZ,20260831,6933.8868,0.865
159242.SZ,20260831,41727.8583,2.102
159768.SZ,20260831,81495.0311,0.428
159760.SZ,20260831,13236.0223,0.583
159228.SZ,20260831,10521.2692,1.025
159805.SZ,20260831,25045.248,1.177
159558.SZ,20260831,1917856.3923,1.136
159595.SZ,20260831,91811.3255,1.37
159610.SZ,20260831,16256.8207,1.286
159289.SZ,20260831,3890.264,1.095
159275.SZ,20260831,25430.2909,0.883
159885.SZ,20260831,24746.7316,0.699
159249.SZ,20260831,10819.1923,1.409
159866.SZ,20260831,111997.9377,1.675
159222.SZ,20260831,170437.0402,1.282
159160.SZ,20260831,21381.9254,0.821
159008.SZ,20260831,11078.4531,1.032
159193.SZ,20260831,22208.0335,0.792
159048.SZ,20260831,19680.3897,0.865
158009.SZ,20260831,4037.3819,1.028
158005.SZ,20260831,17506.1376,0.987
159186.SZ,20260831,8486.9245,0.734
159065.SZ,20260831,10835.0818,0.924
159891.SZ,20260831,34902.4837,0.385
159273.SZ,20260831,71177.7501,1.431
159276.SZ,20260831,55669.6658,1.111
159729.SZ,20260831,6676.0633,0.699
159526.SZ,20260831,58296.2964,1.445
180303.SZ,20260831,30000.0,3.221
180603.SZ,20260831,100000.0,4.33
159607.SZ,20260831,121582.9139,0.793
159513.SZ,20260831,454954.91,1.802
159259.SZ,20260831,476369.6403,1.371
159286.SZ,20260831,72278.5402,0.752
159751.SZ,20260831,88262.9628,0.886
159240.SZ,20260831,2061.9776,1.303
159521.SZ,20260831,1827.4435,1.28
159283.SZ,20260831,30043.7981,0.872
159400.SZ,20260831,7127.7356,101.212
159569.SZ,20260831,36414.7241,1.407
180305.SZ,20260831,100000.0,3.408
180402.SZ,20260831,20000.0,4.875
159523.SZ,20260831,7051.7348,1.264
159256.SZ,20260831,58818.3766,0.838
159288.SZ,20260831,9217.4931,1.003
159119.SZ,20260831,14405.4229,0.99
159742.SZ,20260831,627092.8292,0.59
159919.SZ,20260831,626241.6676,4.889
159886.SZ,20260831,6784.2555,0.896
159280.SZ,20260831,10071.7171,0.696
159899.SZ,20260831,97497.7729,0.725
159872.SZ,20260831,5879.9732,0.842
159761.SZ,20260831,19773.4117,0.808
159113.SZ,20260831,8689.6237,102.176
159631.SZ,20260831,3933.2605,1.247
159582.SZ,20260831,101060.8105,0.772
180306.SZ,20260831,40000.0,4.677
159510.SZ,20260831,6612.8342,1.265
159538.SZ,20260831,21660.8966,0.92
159101.SZ,20260831,287431.1457,0.74
159272.SZ,20260831,373416.469,0.811
159296.SZ,20260831,4504.2941,1.008
159982.SZ,20260831,20421.1253,2.143
159536.SZ,20260831,5326.1589,1.422
159102.SZ,20260831,66062.2004,0.828
159297.SZ,20260831,383441.8642,0.735
159117.SZ,20260831,6140.1153,1.01
159633.SZ,20260831,107016.2658,3.322
159310.SZ,20260831,49898.108,2.878
159825.SZ,20260831,246907.7407,0.753
159713.SZ,20260831,51825.5051,1.285
159973.SZ,20260831,19997.6423,1.919
159532.SZ,20260831,16956.4791,1.678
159606.SZ,20260831,39722.2838,1.377
159931.SZ,20260831,1782.8511,1.882
159126.SZ,20260831,22761.6546,0.946
159243.SZ,20260831,14303.0224,1.269
159108.SZ,20260831,12573.8511,0.995
159118.SZ,20260831,6967.702,0.964
159810.SZ,20260831,5747.5458,1.384
159647.SZ,20260831,101696.1752,0.889
159553.SZ,20260831,1532.6751,1.867
159593.SZ,20260831,185769.604,1.367
159588.SZ,20260831,42928.4857,1.277
159110.SZ,20260831,2262.7093,102.372
159287.SZ,20260831,10956.8753,1.122
159285.SZ,20260831,24848.668,0.773
159898.SZ,20260831,89909.8825,0.495
159131.SZ,20260831,226091.9902,0.994
159981.SZ,20260831,184653.6957,1.63
159115.SZ,20260831,5259.3487,102.187
159003.SZ,20260831,207.5624,100.0
159300.SZ,20260831,37175.8097,5.021
159640.SZ,20260831,5984.5198,0.935
159132.SZ,20260831,12296.3558,0.971
159142.SZ,20260831,117726.0142,1.212
159130.SZ,20260831,19938.9466,0.94
159136.SZ,20260831,10941.4074,1.018
159001.SZ,20260831,3257.0931,100.0
159509.SZ,20260831,662156.4118,2.818
159295.SZ,20260831,8295.8239,1.072
159922.SZ,20260831,279167.6765,3.233
159605.SZ,20260831,407548.6155,0.798
159535.SZ,20260831,2598.1088,1.524
159539.SZ,20260831,5056.5182,1.828
159291.SZ,20260831,1745.7388,1.191
159915.SZ,20260831,1876245.4936,3.456
159615.SZ,20260831,33505.4898,1.141
180501.SZ,20260831,50000.0,3.23
159795.SZ,20260831,2816.9473,0.883
159531.SZ,20260831,103060.8406,1.485
159163.SZ,20260831,26080.7013,0.791
159112.SZ,20260831,22198.783,102.19
159985.SZ,20260831,156072.4066,2.306
159667.SZ,20260831,363905.0718,0.679
159975.SZ,20260831,5193.776,0.757
159139.SZ,20260831,18610.921,1.265
159151.SZ,20260831,18165.1063,0.924
159709.SZ,20260831,2048.406,1.723
159748.SZ,20260831,146969.2128,0.833
159778.SZ,20260831,4025.5382,1.22
159546.SZ,20260831,73492.7822,0.796
159133.SZ,20260831,156841.3345,1.133
159152.SZ,20260831,81855.6093,0.774
159302.SZ,20260831,5029.7609,1.337
159305.SZ,20260831,118564.0302,0.818
159325.SZ,20260831,51646.0528,2.165
159937.SZ,20260831,473812.1977,9.111
159949.SZ,20260831,1547478.5113,1.612
159972.SZ,20260831,6657.591,119.781
159187.SZ,20260831,7517.6266,0.841
159157.SZ,20260831,807275.876,0.865
159137.SZ,20260831,16363.2607,0.96
159277.SZ,20260831,3755.7011,1.0
159128.SZ,20260831,189176.0841,0.726
159616.SZ,20260831,6856.1112,0.808
159639.SZ,20260831,20329.0171,0.956
159551.SZ,20260831,30192.0923,1.272
159127.SZ,20260831,15284.4268,0.972
159143.SZ,20260831,5355.4456,0.966
159169.SZ,20260831,13087.4485,0.996
159541.SZ,20260831,6159.3326,1.542
159100.SZ,20260831,47454.6935,1.086
159148.SZ,20260831,24046.6601,1.007
159156.SZ,20260831,21346.1253,0.875
159680.SZ,20260831,102643.8087,1.698
159996.SZ,20260831,47655.4846,1.447
159150.SZ,20260831,9799.7623,1.596
159041.SZ,20260831,5947.1832,1.043
159049.SZ,20260831,3507.3319,1.05
159086.SZ,20260831,3039.9823,1.078
159165.SZ,20260831,10657.1257,0.881
159172.SZ,20260831,38782.9293,0.849
159016.SZ,20260831,34454.0154,1.024
159703.SZ,20260831,5838.1591,0.909
159788.SZ,20260831,7042.4965,1.229
159122.SZ,20260831,6716.0935,0.887
159260.SZ,20260831,102521.3576,0.873
159120.SZ,20260831,14802.4466,0.748
159725.SZ,20260831,12342.4924,0.781
159740.SZ,20260831,2520712.0448,0.574
180602.SZ,20260831,100000.0,3.801
180607.SZ,20260831,30000.0,5.37
159636.SZ,20260831,2186250.1206,0.522
159641.SZ,20260831,8671.9131,0.994
159597.SZ,20260831,107325.7137,0.8
159552.SZ,20260831,68429.0319,2.311
159309.SZ,20260831,53037.1736,1.439
180203.SZ,20260831,50000.0,7.058
180502.SZ,20260831,50000.0,3.491
159505.SZ,20260831,1910.4786,1.624
159015.SZ,20260831,11035.2934,0.899
159732.SZ,20260831,235844.7904,1.391
159590.SZ,20260831,78186.1746,0.906
159976.SZ,20260831,6388.5872,1.311
159861.SZ,20260831,9711.7535,1.019
159223.SZ,20260831,18084.4755,1.152
159261.SZ,20260831,4981.4904,1.373
159782.SZ,20260831,57019.0267,1.088
159330.SZ,20260831,41980.1009,1.448
159321.SZ,20260831,38190.0397,1.696
159933.SZ,20260831,3637.8943,2.928
159827.SZ,20260831,8671.6463,0.811
