symbol,trade_date,fd_share,close
510410.SH,20260831,43725.84,2.034
516670.SH,20260831,340526.63,0.617
513350.SH,20260831,84374.6,1.347
561160.SH,20260831,228383.5,0.717
561050.SH,20260831,22825.0,0.894
526070.SH,20260831,5237.7,0.993
561450.SH,20260831,8312.43,0.969
512800.SH,20260831,1197747.99,0.829
512360.SH,20260831,2733.77,1.8
512520.SH,20260831,4505.64,1.479
588180.SH,20260831,73135.37,1.1
561980.SH,20260831,839555.0,0.699
588120.SH,20260831,90762.2,0.923
563200.SH,20260831,5345.88,1.546
560570.SH,20260831,115854.12,1.003
589960.SH,20260831,17331.6,0.862
513800.SH,20260831,103704.44,1.892
510580.SH,20260831,114696.83,4.188
517100.SH,20260831,14360.21,1.019
513390.SH,20260831,214437.91,2.426
588260.SH,20260831,4674.6,2.582
516230.SH,20260831,74492.1,0.77
512140.SH,20260831,14404.9,0.91
510140.SH,20260831,7423.05,1.046
561730.SH,20260831,12674.81,1.015
520780.SH,20260831,3946.0,0.816
560390.SH,20260831,203525.8,0.867
515640.SH,20260831,1705.0,0.966
589320.SH,20260831,11405.3,0.868
