to_combo,direction,1w_n,1w_mean,1w_median,1w_std,1w_win,1w_p25,1w_p75,2w_n,2w_mean,2w_median,2w_std,2w_win,2w_p25,2w_p75,1m_n,1m_mean,1m_median,1m_std,1m_win,1m_p25,1m_p75,2m_n,2m_mean,2m_median,2m_std,2m_win,2m_p25,2m_p75,events
无负负,换挡,213,0.019338657887458505,0.0163461538461537,0.08424405243178862,0.5821596244131455,-0.0267087276550997,0.0549544419134397,213,0.026648346192787935,0.0156657963446475,0.11543096093329924,0.5774647887323944,-0.040843214756258,0.0769230769230766,213,0.030477228154097907,0.0249221183800623,0.15328085714118161,0.5586854460093896,-0.0521928234867705,0.1024890190336751,200,0.041106957517722344,0.0315016098186835,0.16132799244385654,0.57,-0.06492676819647378,0.13052568250112606,213
无负负,降级,3718,0.0013071728912513003,0.0009435792313753,0.06985347425963781,0.5026896180742335,-0.03380355322813053,0.0353602437691347,3718,0.015675074798415522,0.01045920847919075,0.09244124145132017,0.5540613232920926,-0.03759313364934075,0.06050530692210575,3716,0.025988939335071133,0.01504735358645835,0.1298708823004184,0.5597416576964478,-0.05306269188387505,0.09128282462272998,3576,0.03737016159336083,0.016352843752712003,0.17869539791261113,0.5441834451901566,-0.07089013632718509,0.11650596314154057,3721
正无无,升级,63117,0.006273960583247245,0.0,0.06634885156416889,0.498138377933045,-0.0275111964171466,0.0303030303030302,62961,0.010940989959843366,0.0031645569620253,0.0929684481457906,0.519051476310732,-0.0386965376782078,0.0476481368356751,62424,0.023782898890133273,0.0070796460176991,0.14819155111830723,0.5285787517621428,-0.057026253865334296,0.07989042538985407,61522,0.04413001153800521,0.0092348086415435,0.22258712052545435,0.5258281590325412,-0.07929725016604827,0.11971391942678507,63249
正无无,换挡,846,0.00610527131884738,0.0007740037812851,0.05970023428863942,0.5035460992907801,-0.026830615690658248,0.03423539001107835,846,0.009707025396742073,0.006238554426201,0.08648806197528026,0.549645390070922,-0.03695571678831562,0.045373518858477874,845,0.017280833976383133,0.0030211480362538,0.14410444377383927,0.5124260355029586,-0.0587071240105541,0.0736589271417131,818,0.04129676982009891,0.0080986629525785,0.20269241658437212,0.5281173594132029,-0.0620879665085552,0.11357597039005415,846
正无无,降级,4121,0.0022209730420791585,-0.0050107372942018,0.0664141686512818,0.4528027177869449,-0.0324947589098532,0.0288725939505041,4111,0.009542160730709933,0.0012995451591941,0.0906822629354999,0.5071758696180978,-0.04023673297241675,0.046964341112854247,4104,0.01615616554864506,0.0034547861374536,0.13716919088903873,0.5129142300194932,-0.06330463944549153,0.07781186205504087,4048,0.03522426582514004,0.0,0.2134776112378863,0.49728260869565216,-0.09017639600313845,0.1149724414270967,4133
正无正,升级,8075,0.005167915888187625,0.0,0.0805455866771742,0.49808049535603716,-0.03916712952300945,0.03948118618465135,8064,0.013097024591122195,0.0031875930243780498,0.11740091019291433,0.5146329365079365,-0.05384348624111623,0.06434304397329438,7987,0.028737176314684646,0.0053720652606448,0.17642241607785106,0.5170902716914987,-0.07754544155268994,0.1043410424759235,7931,0.0702394154444385,0.0158608339728829,0.2784467496842811,0.5394023452275879,-0.09154179319370176,0.16560127336810165,8086
正无正,换挡,369,0.009000797669025652,0.0007326007326007,0.08877194936497697,0.5013550135501355,-0.0385128472826401,0.0443037974683544,367,0.01614301262649041,0.001254705144291,0.13180793289395262,0.5040871934604905,-0.045952556313833354,0.058365068799581005,366,0.02801161373490578,-0.00062068758090835,0.19387874268112953,0.4918032786885246,-0.0732622580600468,0.08856148429998928,364,0.06792216050635545,0.0154019054430283,0.2854261959011286,0.521978021978022,-0.11309660019614255,0.1500159369962501,369
正无正,降级,1091,0.0038940579159034497,-0.0012987012987011,0.07967532442131074,0.4912923923006416,-0.04170789502384465,0.041350656312374945,1089,0.018812203886277093,0.0063694267515923,0.12079499271757535,0.527089072543618,-0.0458681509999999,0.0684192787327266,1084,0.04007495289453353,0.0119192900193578,0.187474908773182,0.5341328413284133,-0.07074852470220218,0.12037354600383518,1076,0.06435239035846933,0.01136818919497555,0.26882716214825036,0.5278810408921933,-0.10098233017971657,0.17324879428208378,1091
正无负,升级,2083,0.012304022021723515,0.0,0.09216674150333588,0.49639942390782527,-0.03495738465537225,0.039400747134122505,2081,0.018518797762443508,0.0106524633821571,0.09731538034911842,0.5598270062469967,-0.0379746835443038,0.0610997963340123,2074,0.03799179577984392,0.019116449333721752,0.1529777728021956,0.5602700096432015,-0.054828299591493476,0.10882897654461425,2006,0.04697249992300775,0.016155940391386202,0.21101667222737489,0.53938185443669,-0.0748844663088849,0.13410094004356296,2083
正无负,换挡,17,0.06644520707915505,0.064139941690962,0.09456833859091637,0.7647058823529411,0.0041249263406009,0.084870848708487,17,0.05795545768941437,0.0506776664702415,0.1181840904302209,0.7647058823529411,0.0161380077907624,0.0764790764790765,17,0.06906216104416572,0.0331890331890332,0.18262948315544406,0.7058823529411765,-0.0126336248785228,0.1154708520179372,16,0.037961037723949285,-0.0039989689405382,0.3066087124105266,0.4375,-0.12055156557396474,0.1312992496446339,17
正无负,降级,61,0.004515749932140596,0.0015128593040847,0.07895201162178939,0.5245901639344263,-0.0483612682822676,0.0503211991434688,61,0.035757485222119606,0.0246791707798617,0.13010378115430865,0.5901639344262295,-0.0358974358974359,0.0695915279878971,61,0.027847640555215925,0.0186170212765959,0.14017624139616844,0.5573770491803278,-0.0632218844984802,0.1033145275035258,60,0.038924349112637174,0.02324582983608765,0.17468704035162347,0.5666666666666667,-0.045749580828293654,0.08889804502512508,61
正正无,升级,26088,0.008431654799220163,-0.0015686361354711,0.07708728564591348,0.48294234897270777,-0.031849029985038746,0.034209056621095225,25996,0.013350213638047436,0.00165044100742545,0.10730459654411864,0.50715494691491,-0.0420712535417251,0.049910452791241997,25896,0.023974109450498323,0.00308827197628865,0.1582347842414226,0.5111986407167131,-0.062047629846050396,0.07959463414512202,25611,0.0422089907982051,0.003922757872784,0.24073130224923756,0.5093904962711335,-0.09078218458672965,0.12128675742574264,26135
正正无,换挡,303,0.01020544715855952,0.000466309162975,0.07822329086158039,0.504950495049505,-0.03078753686370035,0.03981287287068555,299,0.014082984710988417,0.0063829787234042,0.08974721036459621,0.5284280936454849,-0.035874197811177594,0.049267605459555844,299,0.03605005543959072,0.0203703703703705,0.15725109148884886,0.5785953177257525,-0.05957581643969605,0.10314393719853415,298,0.06478587027695747,0.021528754422814052,0.23480418868967456,0.540268456375839,-0.08522014296386524,0.15037772559543777,303
正正无,降级,1191,-0.00415327515828726,-0.0096834264432031,0.08258257944782893,0.42233417296389586,-0.04955933805601505,0.0288540317678462,1177,0.00525269624977578,-0.0098268600842302,0.1125627053529503,0.44519966015293116,-0.0563230605738575,0.0466856735566643,1175,0.023391383743734152,-0.0041436464088397,0.18579431124967302,0.4808510638297872,-0.0736476608187134,0.07666511574237775,1167,0.053679853708505,-0.006072874493927,0.2857259782094207,0.4824335904027421,-0.09616365167300366,0.11441940965691395,1191
