sw_l1,sw_l2,sw_l3,组内排名,symbol,name,mktcap_yi,avg_amount_20d_yi,price,listing_date,is_st,已纳入
传媒,数字媒体,其他数字媒体,9,301313.SZ,凡拓数创,30.47,1.6623,29.78,2022-09-30,0,False
传媒,游戏,游戏Ⅲ,1,002602.SZ,世纪华通,1081.28,15.9219,14.67,2011-07-28,0,True
传媒,游戏,游戏Ⅲ,2,300418.SZ,昆仑万维,552.95,30.5985,43.03,2015-01-21,0,True
传媒,游戏,游戏Ⅲ,3,002558.SZ,巨人网络,472.67,15.5907,24.87,2011-03-02,0,True
传媒,游戏,游戏Ⅲ,4,002555.SZ,三七互娱,384.93,5.2384,17.400000000000002,2011-03-02,0,True
传媒,游戏,游戏Ⅲ,5,002517.SZ,恺英网络,359.99,9.898,16.85,2010-12-07,0,True
传媒,游戏,游戏Ⅲ,6,603444.SS,吉比特,268.14,5.8614,372.21,2017-01-04,0,True
传媒,游戏,游戏Ⅲ,7,002624.SZ,完美世界,190.7,4.9901,9.83,2011-10-28,0,True
传媒,游戏,游戏Ⅲ,8,300002.SZ,神州泰岳,158.55,2.3964,8.06,2009-10-30,0,True
传媒,游戏,游戏Ⅲ,9,002174.SZ,游族网络,142.95,4.8722,14.59,2007-09-25,0,True
传媒,游戏,游戏Ⅲ,10,600633.SS,浙数文化,127.82,1.4992,10.08,1993-03-04,0,False
传媒,游戏,游戏Ⅲ,11,300459.SZ,汤姆猫,124.81,3.3448,3.5500000000000003,2015-05-15,0,False
传媒,游戏,游戏Ⅲ,12,300315.SZ,掌趣科技,108.3,3.6427,4.0,2012-05-11,0,True
传媒,游戏,游戏Ⅲ,13,300113.SZ,顺网科技,106.45,2.5437,15.79,2010-08-27,0,True
传媒,游戏,游戏Ⅲ,14,300031.SZ,宝通科技,86.55,2.4251,20.67,2009-12-25,0,False
传媒,游戏,游戏Ⅲ,15,300467.SZ,迅游科技,66.61,1.0562,32.78,2015-05-27,0,False
传媒,游戏,游戏Ⅲ,16,300043.SZ,星辉娱乐,53.75,1.3715,4.32,2010-01-20,0,False
传媒,游戏,游戏Ⅲ,17,300533.SZ,冰川网络,46.22,1.1527,14.08,2016-08-18,0,False
传媒,游戏,游戏Ⅲ,18,300299.SZ,富春股份,37.83,1.0387,5.48,2012-03-19,0,False
