l1,l2,现有,含ST,有效现有,1亿以上候选,放宽档候选,候选池,新增,补齐后,达标,新增名单,放宽档数
轻工制造,文娱用品,0,0,0,4,7,11,8,8,是,晨光股份(603899)、高乐股份(002348)、舒华体育(605299)、实丰文化(002862)、珠江钢琴(002678)、齐心集团(002301)、通达创智(001368)、英派斯(002899),4
轻工制造,造纸,0,0,0,6,5,11,8,8,是,太阳纸业(002078)、仙鹤股份(603733)、青山纸业(600103)、岳阳林纸(600963)、景兴纸业(002067)、安妮股份(002235)、山鹰国际(600567)、冠豪高新(600433),2
通信,通信服务,5,0,5,25,3,28,3,8,是,数据港(603881)、奥飞数据(300738)、润建股份(002929),0
通信,通信设备,22,0,22,68,4,72,0,22,是,,0
钢铁,冶钢原料,2,0,2,6,0,6,4,6,否,方大炭素(600516)、海南矿业(601969)、河钢资源(000923)、宝地矿业(601121),0
钢铁,普钢,5,0,5,10,3,13,3,8,是,首钢股份(000959)、河钢股份(000709)、马钢股份(600808),0
钢铁,特钢,4,0,4,8,2,10,4,8,是,甬金股份(603995)、抚顺特钢(600399)、金洲管道(002443)、常宝股份(002478),0
银行,农商行,1,0,1,9,1,10,7,8,是,渝农商行(601077)、常熟银行(601128)、青农商行(002958)、无锡银行(600908)、江阴银行(002807)、张家港行(002839)、苏农银行(603323),0
银行,国有大型银行,4,0,4,6,0,6,2,6,否,建设银行(601939)、邮储银行(601658),0
银行,城商行,6,0,6,17,0,17,2,8,是,杭州银行(600926)、齐鲁银行(601665),0
银行,股份制银行,7,0,7,9,0,9,1,8,是,光大银行(601818),0
非银金融,保险,4,0,4,5,0,5,1,5,否,中国人保(601319),0
非银金融,多元金融,1,0,1,20,2,22,7,8,是,中油资本(000617)、江苏金租(600901)、越秀资本(000987)、国网英大(600517)、渤海租赁(000415)、建元信托(600816)、五矿资本(600390),0
非银金融,证券,13,0,13,50,0,50,0,13,是,,0
食品饮料,休闲食品,0,0,0,3,3,6,6,6,否,盐津铺子(002847)、来伊份(603777)、桂发祥(002820)、三只松鼠(300783)、煌上煌(002695)、元祖股份(603886),3
食品饮料,白酒,7,0,7,14,2,16,1,8,是,迎驾贡酒(603198),0
食品饮料,调味发酵品,2,0,2,7,0,7,5,7,否,中炬高新(600872)、天味食品(603317)、涪陵榨菜(002507)、千禾味业(603027)、安记食品(603696),0
食品饮料,非白酒,3,0,3,7,0,7,4,7,否,百润股份(002568)、会稽山(601579)、古越龙山(600059)、威龙股份(603779),0
食品饮料,食品加工,3,0,3,13,8,21,5,8,是,汤臣倍健(300146)、华宝股份(300741)、金禾实业(002597)、洽洽食品(002557)、华统股份(002840),0
食品饮料,饮料乳品,2,0,2,10,5,15,6,8,是,养元饮品(603156)、一鸣食品(605179)、妙可蓝多(600882)、承德露露(000848)、欢乐家(300997)、维维股份(600300),0
