symbol,name,category_l1,category_l2,category_l3,sw_l3,mktcap_yi,avg_amount_20d_yi,listing_date,档位,行情名
301252.SZ,同星科技,股票,家用电器,家电零部件,家电零部件Ⅲ,60.62,1.13,2023-05-25,1亿以上,
603311.SS,金海高科,股票,家用电器,家电零部件,家电零部件Ⅲ,58.95,1.5995,2015-05-18,1亿以上,
603355.SS,莱克电气,股票,家用电器,小家电,清洁小家电,177.81,1.0295,2015-05-13,1亿以上,
002242.SZ,九阳股份,股票,家用电器,小家电,厨房小家电,71.19,1.0387,2008-05-28,1亿以上,
002403.SZ,爱仕达,股票,家用电器,小家电,厨房小家电,32.33,2.2186,2010-05-11,1亿以上,
003023.SZ,彩虹集团,股票,家用电器,小家电,个护小家电,26.07,1.0138,2020-12-11,1亿以上,
301362.SZ,民爆光电,股票,家用电器,照明设备,照明设备Ⅲ,170.77,3.2806,2023-08-04,1亿以上,
605365.SS,立达信,股票,家用电器,照明设备,照明设备Ⅲ,69.58,1.5149,2021-07-20,1亿以上,
001326.SZ,联域股份,股票,家用电器,照明设备,照明设备Ⅲ,62.51,1.6146,2023-11-09,1亿以上,
002638.SZ,勤上股份,股票,家用电器,照明设备,照明设备Ⅲ,59.33,2.0234,2011-11-25,1亿以上,
002724.SZ,海洋王,股票,家用电器,照明设备,照明设备Ⅲ,56.09,1.7157,2014-11-04,1亿以上,
000921.SZ,海信家电,股票,家用电器,白色家电,空调,377.37,2.4275,1999-07-13,1亿以上,
002668.SZ,TCL智家,股票,家用电器,白色家电,冰洗,98.98,1.6111,2012-04-16,1亿以上,
000801.SZ,四川九洲,股票,家用电器,黑色家电,其他黑色家电,121.76,1.659,1998-05-06,1亿以上,
000810.SZ,创维数字,股票,家用电器,黑色家电,其他黑色家电,110.19,1.6885,1998-06-02,1亿以上,
688696.SS,极米科技,股票,家用电器,黑色家电,其他黑色家电,59.72,1.0332,2021-03-03,1亿以上,
688609.SS,九联科技,股票,家用电器,黑色家电,其他黑色家电,51.67,1.3427,2021-03-23,1亿以上,
002848.SZ,高斯贝尔,股票,家用电器,黑色家电,彩电,25.09,1.7175,2017-02-13,1亿以上,
600449.SS,宁夏建材,股票,建筑材料,水泥,水泥制造,59.39,1.5232,2003-08-29,1亿以上,
