sw_l1,sw_l2,现有,合格候选总数,目标,待补,候选前8
纺织服饰,纺织制造,0,6,6,6,伟星股份、孚日股份、聚杰微纤、华孚时尚、兴业科技、富春染织
纺织服饰,饰品,1,10,8,7,XD中国黄、周大生、菜百股份、迪阿股份、潮宏基、飞亚达、金一文化、深中华A
综合,综合,1,9,8,7,东阳光、粤桂股份、综艺股份、南京新百、特 力Ａ、红棉股份、亚泰集团、漳州发展
美容护理,个护用品,0,1,1,1,百亚股份
美容护理,化妆品,0,6,6,6,珀莱雅、贝泰妮、上海家化、丸美生物、水羊股份、青岛金王
美容护理,医疗美容,1,1,1,0,爱美客
计算机,IT服务,11,68,8,0,紫光股份、南网数字、宝信软件、软通动力、宏景科技、网宿科技、岩山科技、中国软件
计算机,计算机设备,9,45,8,0,海康威视、中科曙光、浪潮信息、大华股份、中国长城、柏楚电子、智微智能、奔图科技
计算机,软件开发,17,73,8,0,同花顺、金山办公、科大讯飞、三六零、深信服、指南针、德赛西威、华大九天
轻工制造,包装印刷,1,12,8,7,裕同科技、金富科技、嘉美包装、奥瑞金、紫江企业、顺灏股份、美盈森、大胜达
轻工制造,家居用品,1,20,8,7,公牛集团、顾家家居、欧派家居、悍高集团、菲林格尔、亚振家居、匠心家居、致欧科技
轻工制造,文娱用品,0,4,4,4,晨光股份、高乐股份、舒华体育、实丰文化
轻工制造,造纸,0,6,6,6,太阳纸业、仙鹤股份、青山纸业、岳阳林纸、景兴纸业、安妮股份
通信,通信服务,5,25,8,3,中国移动、中国电信、中国联通、润泽科技、数据港、光环新网、奥飞数据、润建股份
通信,通信设备,22,68,8,0,中际旭创、新易盛、长飞光纤、天孚通信、亨通光电、中兴通讯、光迅科技、锐捷网络
钢铁,冶钢原料,2,7,7,5,鄂尔多斯、大中矿业、钒钛股份、方大炭素、海南矿业、河钢资源、宝地矿业
钢铁,普钢,5,10,8,3,XD宝钢股、包钢股份、首钢股份、华菱钢铁、河钢股份、杭钢股份、马钢股份、新兴铸管
钢铁,特钢,4,8,8,4,中信特钢、XD南钢股、太钢不锈、久立特材、甬金股份、抚顺特钢、金洲管道、常宝股份
银行,农商行,1,9,8,7,沪农商行、渝农商行、常熟银行、青农商行、无锡银行、江阴银行、张家港行、苏农银行
银行,国有大型银行,4,6,6,2,工商银行、建设银行、农业银行、中国银行、交通银行、邮储银行
银行,城商行,6,17,8,2,宁波银行、江苏银行、南京银行、上海银行、杭州银行、北京银行、成都银行、齐鲁银行
银行,股份制银行,7,9,8,1,招商银行、中信银行、兴业银行、浦发银行、平安银行、光大银行、民生银行、华夏银行
非银金融,保险,4,5,5,1,中国人寿、中国平安、中国人保、中国太保、新华保险
非银金融,多元金融,0,20,8,8,中油资本、江苏金租、越秀资本、国网英大、渤海租赁、建元信托、五矿资本、中粮资本
非银金融,证券,13,50,8,0,中信证券、国泰海通、东方财富、中信建投、华泰证券、广发证券、中金公司、招商证券
食品饮料,休闲食品,0,3,3,3,盐津铺子、来伊份、桂发祥
食品饮料,白酒,7,14,8,1,贵州茅台、五 粮 液、山西汾酒、泸州老窖、洋河股份、古井贡酒、今世缘、迎驾贡酒
食品饮料,调味发酵品,2,8,8,6,海天味业、安琪酵母、莲花控股、中炬高新、天味食品、涪陵榨菜、千禾味业、安记食品
食品饮料,非白酒,3,7,7,4,青岛啤酒、燕京啤酒、百润股份、重庆啤酒、会稽山、古越龙山、威龙股份
食品饮料,食品加工,3,13,8,5,双汇发展、安井食品、汤臣倍健、华宝股份、金禾实业、洽洽食品、金字火腿、华统股份
食品饮料,饮料乳品,2,10,8,6,伊利股份、东鹏饮料、养元饮品、一鸣食品、妙可蓝多、承德露露、欢乐家、维维股份
