sw_l1,sw_l2,symbol,name,组内排名,mktcap_yi,avg_amount_20d_yi,listing_date,sw_l3
建筑装饰,工程咨询服务,301058.SZ,中粮科工,7,44.48,1.2733,2021-09-09,工程咨询服务Ⅲ
建筑装饰,工程咨询服务,000779.SZ,甘咨询,8,39.56,6.1523,1997-05-28,工程咨询服务Ⅲ
建筑装饰,房屋建设,000628.SZ,高新发展,2,197.59,7.2133,1996-11-18,房屋建设Ⅲ
建筑装饰,房屋建设,600170.SS,上海建工,3,195.49,2.7391,1998-06-23,房屋建设Ⅲ
建筑装饰,房屋建设,002761.SZ,浙江建投,4,94.6,1.0669,2015-06-10,房屋建设Ⅲ
建筑装饰,房屋建设,601789.SS,宁波建工,5,62.8,1.1252,2011-08-16,房屋建设Ⅲ
建筑装饰,装修装饰,601886.SS,江河集团,1,148.88,2.9605,2011-08-18,装修装饰Ⅲ
建筑装饰,装修装饰,002081.SZ,金 螳 螂,2,129.05,17.7248,2006-11-20,装修装饰Ⅲ
建筑装饰,装修装饰,002713.SZ,东易日盛,3,92.95,1.5029,2014-02-19,装修装饰Ⅲ
建筑装饰,装修装饰,002163.SZ,海南发展,4,73.17,2.4661,2007-08-23,装修装饰Ⅲ
建筑装饰,装修装饰,002047.SZ,宝鹰股份,5,50.95,1.3799,2005-05-31,装修装饰Ⅲ
建筑装饰,装修装饰,605287.SS,德才股份,6,48.34,1.4897,2021-07-06,装修装饰Ⅲ
建筑装饰,装修装饰,002989.SZ,中天精装,7,47.66,1.3058,2020-06-10,装修装饰Ⅲ
建筑装饰,装修装饰,002811.SZ,郑中设计,8,45.12,2.0092,2016-09-08,装修装饰Ⅲ
房地产,房地产服务,000560.SZ,我爱我家,1,62.42,12.4099,1994-02-02,房产租赁经纪
房地产,房地产服务,002285.SZ,世联行,2,47.63,2.3422,2009-08-28,房产租赁经纪
房地产,房地产服务,300917.SZ,特发服务,3,45.41,3.7232,2020-12-21,物业管理
有色金属,能源金属,002756.SZ,永兴材料,7,220.38,4.2445,2015-05-15,锂
有色金属,贵金属,601069.SS,西部黄金,7,267.47,9.0533,2015-01-22,黄金
有色金属,贵金属,001337.SZ,四川黄金,8,219.74,10.3627,2023-03-03,黄金
有色金属,金属新材料,300748.SZ,金力永磁,1,349.64,4.234,2018-09-21,磁性材料
有色金属,金属新材料,300811.SZ,铂科新材,2,343.84,9.796,2019-12-30,磁性材料
有色金属,金属新材料,300835.SZ,龙磁科技,4,213.57,5.0454,2020-05-25,磁性材料
有色金属,金属新材料,603124.SS,江南新材,5,191.52,6.4706,2025-03-20,其他金属新材料
有色金属,金属新材料,601137.SS,博威合金,6,183.44,3.337,2011-01-27,其他金属新材料
有色金属,金属新材料,000969.SZ,安泰科技,7,179.95,3.1958,2000-05-29,其他金属新材料
有色金属,金属新材料,000970.SZ,中科三环,8,137.5,2.6363,2000-04-20,磁性材料
机械设备,工程机械,603338.SS,浙江鼎力,6,277.28,2.2563,2015-03-25,工程机械整机
机械设备,轨交设备,601766.SS,中国中车,1,1710.45,7.5647,2008-08-18,轨交设备Ⅲ
机械设备,轨交设备,688009.SS,中国通号,3,491.37,1.2949,2019-07-22,轨交设备Ⅲ
机械设备,轨交设备,688485.SS,九州一轨,4,158.11,6.7576,2023-01-18,轨交设备Ⅲ
机械设备,轨交设备,000927.SZ,中国铁物,5,151.26,1.0526,1999-07-27,轨交设备Ⅲ
机械设备,轨交设备,300351.SZ,永贵电器,7,54.18,1.0179,2012-09-20,轨交设备Ⅲ
机械设备,轨交设备,000925.SZ,众合科技,8,53.83,3.7987,1999-06-11,轨交设备Ⅲ
汽车,乘用车,601238.SS,广汽集团,6,519.03,1.7327,2012-03-29,综合乘用车
汽车,乘用车,600733.SS,北汽蓝谷,7,285.25,3.6148,1996-08-16,电动乘用车
汽车,乘用车,000572.SZ,海马汽车,8,66.11,2.3191,1994-08-08,综合乘用车
汽车,商用车,600066.SS,宇通客车,1,587.8,4.6782,1997-05-08,商用载客车
汽车,商用车,000951.SZ,中国重汽,3,239.99,2.8129,1999-11-25,商用载货车
汽车,商用车,600166.SS,福田汽车,4,220.1,3.0004,1998-06-02,商用载货车
汽车,商用车,301039.SZ,中集车辆,5,136.44,1.0379,2021-07-08,商用载货车
汽车,商用车,600686.SS,金龙汽车,6,77.23,1.7083,1993-11-08,商用载客车
汽车,商用车,000957.SZ,中通客车,7,58.22,1.4394,2000-01-13,商用载客车
汽车,摩托车及其他,603129.SS,春风动力,1,456.38,3.3617,2017-08-18,摩托车
汽车,摩托车及其他,601777.SS,千里科技,2,357.17,1.475,2010-11-25,摩托车
汽车,摩托车及其他,603766.SS,隆鑫通用,3,300.43,2.1437,2012-08-10,摩托车
汽车,摩托车及其他,301345.SZ,涛涛车业,5,259.66,2.0819,2023-03-21,摩托车
汽车,摩托车及其他,603529.SS,爱玛科技,6,184.86,1.1475,2021-06-15,其他运输设备
汽车,摩托车及其他,003033.SZ,征和工业,7,66.03,1.2229,2021-01-11,摩托车
汽车,摩托车及其他,301322.SZ,绿通科技,8,61.77,1.7443,2023-03-06,其他运输设备
汽车,汽车服务,300825.SZ,阿尔特,1,62.65,2.9396,2020-03-27,汽车综合服务
汽车,汽车零部件,600660.SS,福耀玻璃,2,1417.61,5.2469,1993-06-10,车身附件及饰件
汽车,汽车零部件,600741.SS,华域汽车,4,471.65,2.3223,1996-08-26,车身附件及饰件
汽车,汽车零部件,601058.SS,赛轮轮胎,5,447.51,5.7342,2011-06-30,轮胎轮毂
汽车,汽车零部件,603049.SS,中策橡胶,6,391.68,1.2411,2025-06-05,轮胎轮毂
煤炭,焦炭,600740.SS,山西焦化,2,98.39,1.9121,1996-08-08,焦炭Ⅲ
煤炭,焦炭,601015.SS,陕西黑猫,3,74.14,3.9224,2014-11-05,焦炭Ⅲ
煤炭,焦炭,601011.SS,宝泰隆,4,56.32,2.9396,2011-03-09,焦炭Ⅲ
煤炭,焦炭,600792.SS,云煤能源,5,54.05,4.1086,1997-01-23,焦炭Ⅲ
煤炭,焦炭,600408.SS,安泰集团,6,31.01,1.9881,2003-02-12,焦炭Ⅲ
环保,环保设备,000967.SZ,盈峰环境,1,270.08,4.5526,2000-03-30,环保设备Ⅲ
环保,环保设备,600388.SS,紫金龙净,2,251.11,2.0021,2000-12-29,环保设备Ⅲ
环保,环保设备,002645.SZ,华宏科技,3,138.72,4.1131,2011-12-20,环保设备Ⅲ
