,random,rank:trend_score,rank:trend_score:asc,random_sub:0.2|random,pct:trend_score:0.2|rank:trend_score,pct:trend_score:0.5|rank:trend_score,young_golden:20|pct:trend_score:0.2|rank:trend_score,rank:er,rank:atr_pct
2022-11-23,153460.90996534738,159550.9503537183,162868.17551834657,155436.24076039367,181905.34647487366,167510.3735642065,181905.34647487366,153549.66508022614,156445.41116456222
2022-11-24,153092.51830562003,159928.730493991,163216.82776951347,154814.81144206205,181897.21159841688,167908.64603901093,181897.21159841688,153968.1696382289,156008.2002881674
2022-11-25,153987.3013762114,161245.07216458232,163727.72530384868,155317.74479378233,183418.95735079766,169285.8086001745,183418.95735079766,154742.461702251,155655.66252264532
2022-11-28,151364.7963738566,159615.26716222754,161574.08478284447,152119.93087711028,181583.8698993692,167579.99106347634,181583.8698993692,152775.6796582013,151747.47677629755
2022-11-29,153832.8874373883,161995.65822575925,163605.92080151488,155235.79856115775,184218.42400568942,170070.588609071,184218.42400568942,154495.75258624548,152498.37897629754
2022-11-30,154385.27092444888,162306.2417128198,163309.65504334657,156834.64181007168,184586.96979339494,170393.51114354504,184586.96979339494,154577.52068022615,153471.11437629754
2022-12-01,153889.21274091813,162462.28352928907,163464.42080151488,158647.46316575122,184698.0698287197,170559.47111685548,184698.0698287197,154572.15258624547,156211.11437629754
2022-12-02,152843.49001150465,161471.7607998756,162741.49378751207,156824.61486035064,183571.64487287562,169525.74608349352,183571.64487287562,153755.39789021233,155691.41437629753
2022-12-05,153139.12385974216,162220.3562481131,163277.6291583514,160732.07940737138,184402.91896547293,170304.52232686407,184402.91896547293,154299.36871230623,161223.31437629755
2022-12-06,152205.5415868008,161978.20487517174,162449.9429094783,159600.7945768313,184086.7463948885,170047.55084852787,184086.7463948885,153890.08474828838,159574.21437629755
2022-12-07,151372.36186209216,160430.0277504631,160994.33953668908,158228.24234467704,182315.62563367654,168428.07329403667,182315.62563367654,153368.00210501225,158580.39377629754
2022-12-08,152628.55807385658,160154.82396222753,160223.28900496179,159139.6676271103,182039.32147436918,168140.78578847635,182039.32147436918,154249.68519592396,161080.19377629756
2022-12-09,152962.09592326908,161111.11381164,160433.82942298843,160909.10189278386,183105.19228856827,169142.6533029332,183105.19228856827,155215.21186314622,163115.59377629755
2022-12-12,151544.7662734427,159685.85567427348,159198.38857372032,157911.26720383257,181472.28989274148,167652.46728134307,181472.28989274148,153108.57037716726,159673.49097629753
2022-12-13,149582.4382742427,158271.9179633736,157459.17364813562,157640.22240383257,179897.29754980095,166168.85722367992,179897.29754980095,152348.16506834724,160325.39097629755
2022-12-14,149455.2382742427,157005.23353564861,156800.01904752874,158359.58821883256,178461.7244640658,164838.50470926415,178461.7244640658,151840.414778726,159534.59097629754
2022-12-15,150413.9382742427,157381.90239109859,157768.56371172363,157894.86939383257,178872.27063553606,165233.50973809572,178872.27063553606,151855.07257680476,156807.25265129755
2022-12-16,149485.4382742427,156113.16468019868,157039.4488941327,156570.2098386326,177428.67829259555,163902.09968043258,177428.67829259555,150871.98060447036,156671.30265129753
2022-12-19,145842.0959012427,154113.68730698907,155135.62573848804,155552.8319482326,175190.0365891771,161803.95540821538,175190.0365891771,149564.70356583106,153380.52977309754
2022-12-20,145750.33590124268,153893.02810698908,155199.82573848806,155608.6319482326,174965.08138917707,161572.98580821537,174965.08138917707,149564.70356583106,152151.73097309752
2022-12-21,146158.33590124268,153893.02810698908,155627.82573848806,155980.6319482326,174965.08138917707,161572.98580821537,174965.08138917707,149564.70356583106,152297.83097309753
2022-12-22,145829.0423496599,153761.19052343044,155280.35214693547,155727.8009482326,174891.02338917708,161503.74580821538,174891.02338917708,149436.13799826032,153919.1933895389
2022-12-23,145091.38285247423,153132.9332990456,154494.42874075082,155239.1778212326,174491.37340317707,161131.83812821534,174491.37340317707,148824.7729374751,152950.42276515407
2022-12-26,145823.79635597224,153866.23454187685,155275.45191841538,155980.3778212326,175283.37340317707,161862.23812821537,175283.37340317707,149535.0303106397,153484.5240079853
2022-12-27,146529.80985947023,154030.73578470806,156019.0750960799,156610.5778212326,175427.37340317707,161995.03812821535,175427.37340317707,149694.48768380433,154378.7252508165
2022-12-28,146348.07626646626,153513.33367037054,155821.86025140894,156366.39342123258,174827.7918031771,161302.58872821537,174827.7918031771,149192.46943013355,153742.46053647896
2022-12-29,147343.68436856507,153979.19441606925,156385.43415800767,156815.21742123258,175411.04560317707,162073.68872821535,175411.04560317707,150383.70385403233,153920.72128217772
2022-12-30,148400.31677696027,154816.1373988642,157542.72978440253,157906.41742123256,175610.44560317707,162857.98872821534,175610.44560317707,150846.0415496274,154777.56426497264
2023-01-03,148681.4275797587,155065.4183931292,158005.12832653415,159158.71742123258,176066.9456031771,163150.18872821535,176066.9456031771,151519.08744815912,155891.14525923762
2023-01-04,148143.0626888535,153730.6402880904,156570.44858846194,157274.11742123257,175971.23083597707,161887.65158781534,175971.23083597707,150588.1441839871,155631.1084905988
2023-01-05,149356.5815937507,154696.8820280541,156532.32103719228,158286.4174212326,178797.93083597708,163890.85158781533,178797.93083597708,151174.42450641756,156614.5502305625
2023-01-06,148610.32115859952,155406.71647966924,156397.24615800765,159105.4238212326,177453.35743597706,164809.03378781537,177453.35743597706,150075.11621963233,157211.05648217772
2023-01-09,149149.44827856685,156353.54791371652,157020.77939252133,159103.2238212326,178695.35743597706,165618.43378781533,178695.35743597706,150544.3440527468,159056.38791622498
2023-01-10,149943.65497845385,156595.28716801776,157239.40548592262,159787.7238212326,179163.15743597707,166452.93378781533,179163.15743597707,149939.40962884802,159355.12717052625
2023-01-11,150000.2642956784,156216.98965368024,158147.9518412517,159018.5238212326,179381.95743597706,165848.53378781537,179381.95743597706,149927.40460017725,158317.7296561887
2023-01-12,150022.8480914808,156486.86816228274,158394.90402805424,159663.52382123258,179133.55743597707,166117.5337878153,179133.55743597707,150214.13575237972,156666.30816479123
2023-01-13,152543.111226364,158058.98965368024,159262.0518412517,161151.9238212326,182751.35743597706,168636.93378781533,182751.35743597706,151894.68171657543,157894.8296561887
2023-01-16,154981.8325615127,160194.01487357137,159766.7691874427,162396.52382123258,187192.15743597707,171998.0337878153,187192.15743597707,154157.12530033808,157385.47100107983
2023-01-17,154968.998863877,160199.67934776377,160469.112627035,162784.3655212326,185644.8574359771,171677.33378781535,185644.8574359771,154109.0647409855,157679.83547527224
2023-01-18,155055.18703303894,159733.43636496883,161266.91700064015,163268.7655212326,184613.85743597706,170977.0337878153,184613.85743597706,153799.29545637124,158371.9924924773
2023-01-19,156679.40715306188,160650.01984489628,161774.5618981008,164657.3655212326,187359.8574359771,172562.23378781532,187359.8574359771,155192.69030672256,158456.67597240472
2023-01-20,157197.31434009233,161664.74755044986,163613.3255996209,166033.96552123257,187218.55743597707,173075.43378781533,187218.55743597707,155442.71704779527,160767.30367795832
2023-01-30,156276.08836113597,162009.0070533174,163236.6763285551,167655.56552123258,186282.65743597707,173267.73378781532,186282.65743597707,154998.15580450124,161454.06318082585
2023-01-31,153578.55672666267,160518.89521575416,162253.712627035,166374.06552123258,182278.98046929087,170650.33742520126,182278.98046929087,152678.085334806,160844.43547527224
2023-02-01,154113.98057542488,160419.1511284625,163259.77924429186,167672.1655212326,182070.32650337619,170077.1867881662,182070.32650337619,152966.46463168768,162193.10119229587
2023-02-02,153599.0803405991,160275.84323904125,162962.03987474611,166064.68972123257,182188.36868633353,169659.91210668374,182188.36868633353,152579.8397058802,161638.288400717
2023-02-03,151779.01804174975,158144.4217529005,161079.20610932037,165012.9897212326,180100.05262154673,167159.33801409608,180100.05262154673,150743.4843114855,159985.73887536454
2023-02-06,150182.23369774976,157054.06572483078,159530.06077392033,162669.6071074326,176770.0585612394,165606.64188787944,176770.0585612394,149576.07559679082,158178.25047536453
2023-02-07,150182.23369774976,156987.16572483076,159534.66077392033,162298.80710743257,176770.0585612394,165536.14188787944,176770.0585612394,149576.07559679082,158071.45047536452
2023-02-08,150182.23369774976,156831.06572483078,159205.01197392034,161616.72150743258,176770.0585612394,165371.64188787944,176770.0585612394,149576.07559679082,157455.40087536455
2023-02-09,150117.540947231,157320.99125532142,159281.61415612797,162176.08866721572,176694.66228304137,165888.27402523803,176694.66228304137,149511.38284627203,157947.41473171368
2023-02-10,150295.30240462438,156869.41351755452,159093.84886260098,161962.23979004857,176905.30801555357,165412.54806443077,176905.30801555357,149689.28230366544,157494.39396606674
2023-02-13,150398.1630904222,156977.9915716322,159243.75076475862,162288.06616432618,177180.536726391,165598.56471082833,177180.536726391,149792.76818946324,157603.96164418443
2023-02-14,150629.1630904222,157218.0915716322,159742.15076475864,162070.37736432618,177142.80552639096,165632.73671082832,177142.80552639096,150022.16818946323,157845.3616441844
2023-02-15,148082.6716898376,154559.76679308835,157284.314199655,160319.52874438284,175305.49015052913,163253.37378604533,175305.49015052913,147486.77678887863,155176.53209736064
2023-02-16,147285.33374664639,153727.40977677758,156148.26279102435,159792.96539727238,175014.55350717955,162806.76640045503,175014.55350717955,146692.33884568742,154340.44378488994
2023-02-17,146375.3777808486,152777.77562269988,155217.13486886668,158668.98702299476,173778.36559634213,161783.31811405745,173778.36559634213,145786.50240988965,153387.27133677228
2023-02-20,148050.28571384418,154525.6655201272,157207.25117881445,160963.06808152166,176301.49910594785,163437.01206924408,176301.49910594785,147452.43708177755,155146.6808664195
2023-02-21,148403.61453669745,154607.83328236028,157525.75679319282,160413.40320435452,175690.5628384601,163177.7676084368,175690.5628384601,147254.59053917092,155229.62210077254
2023-02-22,147808.82446136538,153594.16552012722,156995.64087444055,159711.96808152166,174921.89910594787,162253.9120692441,174921.89910594787,146477.53708177755,154213.78086641952
2023-02-23,147702.39132239163,153286.54505388258,156829.95007261628,158897.7769760769,174022.7191992227,161509.63532163925,174022.7191992227,146102.71101617315,153907.83728385487
2023-02-24,146667.0843721789,151990.89341053297,155238.68043746531,157443.07429182762,172418.07360045437,160199.20201285018,172418.07360045437,144760.52952008304,152607.0754323253
2023-02-27,146542.0755472187,151649.14168149413,155484.9211986658,157893.7987046888,172921.49684503564,159998.99402725138,172921.49684503564,144680.41887718416,152266.64413446648
2023-02-28,146964.30644848733,151884.603416006,156039.12726830092,158250.29202752165,173315.5522481767,160258.97399944902,173315.5522481767,144903.79505999153,152504.96066651077
2023-03-01,148265.79350931244,152980.24907594442,157282.38406843832,158753.4025632157,174284.2155407723,160924.8192002527,174284.2155407723,145950.48937678858,153605.21898885968
2023-03-02,148098.08472741072,152345.25037311026,156825.56511898784,158231.06744038285,174354.30575214647,160670.98597128363,174354.30575214647,145335.64469826655,152952.2005927837
2023-03-03,149009.195595679,153074.11717500674,157083.0188353865,157937.43500179928,174646.62624875183,161098.32954944807,174646.62624875183,146020.9774995593,153669.41520334786
2023-03-06,147820.0379314659,152292.3624161984,155949.14611649682,158059.85394327238,174215.10805268324,161071.80089591697,174215.10805268324,145285.31553394673,152892.83511859004
2023-03-07,147257.28425220776,151231.5793405212,154966.90836559547,155384.94655873746,171831.8009386395,158763.95000756762,171831.8009386395,144282.52189974266,151836.93618559692
2023-03-08,147005.40476453525,151022.4310731938,154672.30957787475,155526.44655873746,172013.62402444734,158928.64294486068,172013.62402444734,144075.15906145825,151618.52007998576
2023-03-09,146679.4500262155,150804.66074184258,154402.23067523964,154978.53682540415,171333.4147670238,158310.9875996482,171333.4147670238,143866.8419763115,151400.32546348596
2023-03-10,145857.8356662281,150256.39964943938,153775.1033783446,154335.04068293748,170359.43965536534,157421.84310724333,170359.43965536534,143344.6496832478,150853.49147801322
2023-03-13,146255.34566622807,150659.55524943938,154200.7045783446,154268.64188293746,170286.8232553653,157354.27850724332,170286.8232553653,143743.3254832478,151273.05847801323
2023-03-14,146162.9557280426,150572.60405168222,154094.83537834458,154846.85268293746,170855.0456283177,157810.81821265802,170855.0456283177,143641.94608324778,151167.17527801322
2023-03-15,145849.2193372151,150418.1483587555,153345.33537834458,154811.75588293746,170717.28882970865,157838.93443283526,170717.28882970865,142941.7460832478,149973.57527801322
2023-03-16,144183.89697331877,149028.90929595096,151568.25727067792,153879.09241627078,169424.63923341787,156745.86281997457,169424.63923341787,141622.8336992478,148437.3730573466
2023-03-17,145056.92893205013,150778.17258212905,153612.4845427917,155172.9464968004,171601.47922414483,159227.08801879294,171601.47922414483,144079.5298992478,151907.98799067992
2023-03-20,145546.92220298268,153169.02370656715,152648.58471127268,155560.29812551843,172871.8187170808,161613.26309796743,172871.8187170808,143727.7542228478,150591.97062494658
2023-03-21,145311.8852781988,154499.20324461602,153006.91515682038,155057.94177342745,173697.40471800813,162151.30724475227,173697.40471800813,144613.3042228478,151693.70395827992
2023-03-22,147217.94467822684,157080.8256042094,155376.40817661548,156967.73787947278,176227.55071661717,164018.15769124168,176227.55071661717,146402.3042228478,154144.2706249466
2023-03-23,152312.1584223343,161120.26289575233,160840.3551073011,162030.8436008617,182245.97269528915,169569.70898185731,182245.97269528915,151404.35422284782,159380.37062494658
2023-03-24,152326.8679085359,163479.02915030552,162940.4415099488,161634.9986284896,183671.73469946202,170682.79097572237,183671.73469946202,154767.2542228478,164078.0039582799
2023-03-27,150618.53710848463,162656.9840190053,162855.70733503945,159334.2489471468,181887.80470641682,168954.90540994192,181887.80470641682,155615.5542228478,165508.93729161326
